学生ID,学部,テストスコア,出席日数,クラス参加度,経済的背景
0290,文,84,41,9,低
0291,工,72,43,7,低
0292,工,65,33,5,低
0293,工,90,42,9,低
0294,工,60,37,6,中
0295,工,85,35,5,高
0296,文,51,31,7,高
0297,工,90,34,8,低
0298,理,86,43,8,低
0299,文,90,39,8,高
0300,文,95,43,6,高
0301,文,72,40,7,高
0302,工,84,35,9,中
0303,工,56,35,6,中
0304,工,86,41,7,低
0305,工,77,38,7,中
0306,理,68,31,7,高
0307,文,76,43,9,低
0308,工,86,39,7,中
0309,工,62,32,5,低
0310,文,84,40,6,高
0311,工,73,36,4,高
0312,工,85,39,8,低
0313,文,79,39,4,中
0314,工,89,39,9,中
0315,理,73,32,8,中
0316,工,87,39,7,低
0317,理,67,38,4,中
0318,工,79,38,5,低
0319,文,60,30,8,中
0320,工,90,36,6,中
0321,理,77,38,8,中
0322,理,88,38,8,低
0323,文,90,40,5,高
0324,理,63,35,8,中
0325,理,54,34,6,高
0326,工,51,31,8,低
0327,理,89,36,8,高
0328,文,88,37,9,低
0329,文,78,31,5,中
0330,文,96,38,8,高
0331,理,76,42,9,中
0332,経済,82,36,7,高
0333,文,59,35,6,中
0334,理,83,41,9,高
0335,工,75,39,9,低
0336,経済,86,42,9,中
0337,文,87,42,6,低
0338,工,93,40,7,高
0339,工,90,41,9,低
0340,工,92,40,6,中
0341,工,64,39,9,高
0342,工,74,40,7,中
0343,工,65,31,6,低
0344,工,71,40,7,低
0345,理,73,40,6,高
0346,工,93,41,8,高
0347,文,88,38,6,低
0348,理,90,37,6,低
0349,工,74,40,6,高
0350,工,70,34,8,高
0351,工,95,38,9,低
0352,理,90,38,8,高
0353,理,82,39,6,低
0354,文,79,33,6,高
0355,工,62,35,8,中
0356,理,80,34,5,高
0357,工,99,39,8,低
0358,文,59,35,6,高
0359,文,95,35,8,低
0360,文,70,32,7,低
0361,理,90,43,8,高
0362,文,78,39,7,高
0363,理,69,32,6,中
0364,文,88,43,6,中
0365,工,80,41,6,中
0366,工,69,32,5,低
0367,文,80,34,6,高
0368,工,88,36,5,低
0369,工,84,38,8,中
0370,文,76,40,5,中
0371,文,89,39,9,中
0372,理,93,42,6,中
0373,工,89,30,8,高
0374,理,55,30,8,低
0375,工,100,36,7,低
0376,工,95,40,6,高
0377,文,58,32,7,高
0378,文,76,31,7,低
0379,理,84,40,6,高
0380,工,87,42,7,中
0381,文,81,38,9,高
0382,文,75,40,8,低
0383,工,70,43,6,中
0384,工,74,43,9,中
0385,工,72,40,9,高
0386,理,61,31,7,中
0387,工,95,42,7,中
0388,工,82,32,8,中
0389,工,81,41,9,高
0390,文,72,40,6,高
0391,工,90,31,5,高
0392,文,73,42,6,低
0393,工,95,36,4,低
0394,工,86,40,6,高
0395,文,72,39,6,低
0396,工,85,33,10,低
0397,理,89,38,8,中
0398,工,82,38,7,低
0399,工,77,32,5,低
0400,経済,88,32,6,高
0401,工,75,43,8,高
0402,工,79,33,8,低
0403,文,91,41,7,低
0404,文,95,34,7,高
0405,工,67,40,9,中
0406,文,57,30,5,高
0407,工,67,34,6,中
0408,経済,78,36,4,中
0409,理,94,39,8,高
0410,文,78,42,6,低
0411,文,62,34,8,高
0412,理,74,37,6,低
0413,工,70,38,7,高
0414,工,93,39,7,高
0415,文,90,40,8,中
0416,理,100,36,4,高
0417,工,90,43,6,高
0418,工,52,34,8,高
0419,工,72,38,6,中
0420,理,91,35,7,高
0421,工,71,37,7,中
0422,文,87,40,6,低
0423,工,84,34,8,低
0424,理,81,38,7,中
0425,理,91,35,8,中
0426,工,74,42,8,高
0427,文,83,38,9,中
0428,工,80,35,6,高
0429,理,86,33,7,高
0430,工,71,42,8,低
0431,工,80,43,8,中
0432,文,89,39,8,中
0433,経済,86,42,6,高
0434,工,78,32,6,高
0435,工,60,35,7,高
0436,理,95,41,9,中
0437,工,79,39,6,高
0438,文,87,38,9,中
0439,文,90,31,7,中
0440,工,73,38,8,高
0441,工,85,41,7,中
0442,工,78,39,6,高
0443,文,68,36,9,中
0444,工,70,32,8,高
0445,工,75,42,7,低
0446,工,72,43,6,低
0447,理,82,38,6,高
0448,文,89,39,9,中
0449,工,66,35,5,中
0450,工,85,39,8,中
0451,工,61,35,8,中
0452,工,75,37,4,高
0453,文,77,42,7,高
0454,理,89,33,5,低
0455,理,93,41,7,高
0456,理,85,37,8,高
0457,工,87,43,8,高
0458,文,85,33,10,高
0459,工,85,39,8,低
0460,経済,91,43,8,高
0461,工,78,43,9,中
0462,経済,90,30,7,中
0463,工,95,42,8,中
0464,工,95,43,9,低
0465,工,70,39,7,中
0466,文,90,35,7,高
0467,工,69,32,5,低
0468,工,90,43,8,高
0469,工,74,35,5,高
0470,文,88,42,6,中
0471,文,94,40,7,低
0472,工,93,37,4,中
0473,文,95,41,6,中
0474,工,90,39,5,中
0475,工,87,38,6,低
0476,理,59,33,6,高
0477,工,90,38,6,高
0478,理,89,34,7,高
0479,理,71,31,6,低
0480,文,84,40,6,中
0481,工,86,42,9,中
0482,文,91,36,7,中
0483,文,86,41,8,低
0484,工,80,41,6,高
0485,工,83,35,8,中
0486,経済,87,38,9,高
0487,工,79,41,9,低
0488,工,71,43,8,高
0489,理,60,31,6,中
0490,理,71,38,9,高
0491,工,93,43,6,低
0492,工,78,33,8,低
0493,文,82,39,4,高
0494,工,82,41,7,中
0495,工,52,33,7,低
0496,文,75,40,7,中
0497,理,88,38,9,低
0498,工,84,33,8,高
0499,文,71,40,9,低
0500,工,74,43,6,低
