学生ID,学部,テストスコア,出席日数,クラス参加度,経済的背景,退学リスク,初任給,業界
0183,工,92,37,9,低,高,3973069,教育
0184,理,75,30,6,中,低,3105348,金融
0185,文,61,40,5,中,中,2506675,教育
0186,工,82,37,9,低,高,4078564,IT
0187,工,91,37,8,中,高,3992489,金融
0188,経済,86,40,9,高,低,4543533,製造
0189,経済,86,38,9,低,低,4450830,IT
0190,文,75,36,7,低,中,2531890,教育
0191,文,89,40,6,低,中,2400069,製造
0192,理,63,31,4,中,低,3032722,製造
0193,理,84,39,6,低,低,3073416,金融
0194,理,78,32,5,低,低,3007855,金融
0195,工,76,35,7,高,高,3990289,教育
0196,理,90,34,6,高,低,2878922,教育
0197,工,83,34,8,中,高,4034763,IT
0198,文,81,40,5,高,中,2467643,IT
0199,経済,100,38,10,高,低,4572763,IT
0200,工,80,38,9,高,高,3905871,製造
0201,理,96,30,7,中,低,3046739,IT
0202,経済,85,38,8,中,低,4461307,製造
0203,工,83,35,6,中,高,3906451,教育
0204,文,88,39,7,高,中,2488659,金融
0205,文,69,38,8,高,中,2408534,製造
0206,工,91,37,7,中,高,4078617,IT
0207,経済,89,40,8,低,低,4487607,金融
0208,理,97,32,6,低,低,2875721,製造
0209,工,83,36,6,中,高,3980635,教育
0210,理,83,36,8,低,低,3162716,教育
0211,理,80,37,8,高,低,2951503,製造
0212,経済,80,40,7,高,低,4556998,金融
0213,経済,87,40,8,低,低,4444469,IT
0214,文,76,39,7,低,中,2568872,製造
0215,工,72,38,8,高,高,4009854,IT
0216,文,59,36,5,低,中,2563042,IT
0217,経済,93,39,8,低,低,4549609,金融
0218,経済,96,39,10,中,低,4420145,金融
0219,経済,81,38,8,高,低,4477997,教育
0220,工,92,38,7,中,高,4003135,製造
0221,文,89,38,7,低,中,2407728,教育
0222,工,79,33,6,高,高,4040968,金融
0223,文,56,40,8,高,中,2515894,金融
0224,経済,83,38,9,中,低,4552736,金融
0225,理,62,33,7,中,低,3137029,製造
0226,経済,80,39,7,中,低,4586267,教育
0227,文,80,35,8,高,中,2486625,製造
0228,経済,94,42,10,低,低,4569783,教育
0229,工,84,36,7,高,高,3919190,金融
0230,工,85,37,9,中,高,3929957,IT
0231,文,77,40,5,中,中,2589809,金融
0232,経済,88,41,7,低,低,4403305,教育
0233,経済,89,42,10,中,低,4405917,金融
0234,工,86,34,8,中,高,4039898,製造
0235,経済,84,41,9,低,低,4476081,製造
0236,経済,89,42,10,低,低,4550514,教育
0237,理,89,32,4,中,低,3049003,金融
0238,理,61,33,7,中,低,2990109,金融
0239,経済,90,42,7,中,低,4566133,製造
0240,理,89,40,4,中,低,2959972,金融
0241,文,78,37,6,中,中,2511698,金融
0242,経済,89,41,10,低,低,4500757,IT
0243,工,90,34,7,高,高,4081416,IT
0244,経済,100,40,8,中,低,4560132,金融
0245,工,78,34,9,高,高,3940499,IT
0246,工,77,33,8,高,高,4034242,教育
0247,理,89,30,4,高,低,3064390,金融
0248,経済,94,42,9,低,低,4471924,製造
0249,理,69,40,9,中,低,2864533,金融
0250,経済,94,39,9,高,低,4573897,製造
0251,工,94,38,7,高,高,4033811,製造
0252,工,88,36,9,低,高,3904449,IT
0253,工,94,35,8,低,高,3955004,金融
0254,理,88,40,7,低,低,3169573,IT
0255,工,76,38,7,中,高,4098771,金融
0256,経済,100,42,9,低,低,4517523,製造
0257,文,83,38,7,中,中,2545026,製造
0258,理,94,32,5,中,低,2901322,製造
0259,理,98,35,4,低,低,3093806,IT
0260,理,62,37,7,高,低,3176903,製造
0261,経済,86,39,9,中,低,4548310,金融
0262,工,89,38,7,高,高,3932351,教育
0263,経済,88,42,9,高,低,4468484,IT
0264,文,52,36,6,低,中,2406019,IT
0265,理,66,32,9,低,低,3153864,IT
0266,工,88,36,9,中,高,3915187,金融
0267,理,71,36,8,中,低,2942435,製造
0268,経済,94,38,9,高,低,4592176,金融
0269,工,80,33,7,中,高,4095622,教育
0270,理,97,30,7,高,低,3154274,IT
0271,工,93,35,9,高,高,3942791,製造
0272,文,64,39,8,中,中,2554277,IT
0273,理,81,34,5,低,低,2812137,金融
0274,経済,83,42,10,中,低,4598095,製造
0275,理,97,36,9,中,低,3140917,IT
0276,理,70,31,4,中,低,3150712,製造
0277,文,58,40,6,低,中,2509134,教育
0278,工,85,33,7,低,高,4077172,IT
0279,経済,93,41,9,低,低,4479408,金融
0280,経済,94,41,8,低,低,4521170,IT
0281,文,64,35,5,低,中,2484699,IT
0282,理,96,30,5,中,低,3047716,教育
0283,理,75,31,9,中,低,3071637,製造
0284,文,88,37,5,高,中,2481899,金融
0285,工,94,38,8,高,高,3972379,金融
0286,工,87,35,6,高,高,3913790,教育
0287,経済,95,40,8,低,低,4565823,IT
0288,工,72,37,6,高,高,4046393,IT
0289,工,95,33,6,低,高,3920943,教育
0290,工,76,36,8,高,高,4058680,製造
0291,工,70,38,7,中,高,4061100,製造
0292,理,72,37,6,高,低,2915310,金融
0293,理,64,34,6,低,低,3015469,製造
0294,工,80,37,8,低,高,4015003,製造
0295,工,93,35,8,中,高,3937831,製造
0296,文,69,38,5,高,中,2434197,製造
0297,経済,98,38,8,高,低,4583847,IT
0298,工,92,36,8,中,高,3932303,IT
0299,工,93,35,6,中,高,4036659,製造
0300,理,66,38,5,低,低,3186527,製造
0301,文,62,36,7,高,中,2422847,教育
0302,理,76,33,8,低,低,2803729,金融
0303,工,74,35,7,低,高,4074470,製造
0304,工,95,37,6,中,高,4055452,製造
0305,経済,82,42,7,低,低,4582852,IT
0306,理,65,32,7,低,低,2801579,教育
0307,経済,83,38,10,高,低,4428129,IT
0308,理,97,39,7,低,低,3013126,製造
0309,文,72,38,8,低,中,2574449,製造
0310,理,72,32,4,高,低,3037507,金融
0311,文,66,37,6,高,中,2595704,IT
0312,理,93,34,8,高,低,2884625,金融
0313,文,70,39,6,低,中,2421212,IT
0314,経済,94,39,7,高,低,4493565,教育
0315,経済,95,41,8,高,低,4411446,IT
0316,経済,90,38,10,高,低,4588719,教育
0317,工,76,33,6,高,高,3935432,IT
0318,経済,80,39,8,低,低,4507114,教育
0319,経済,92,38,8,低,低,4525677,金融
0320,工,82,35,8,低,高,4003252,金融
0321,理,66,35,9,低,低,3145244,金融
0322,経済,82,40,9,高,低,4508283,製造
0323,理,75,32,7,高,低,3192714,金融
0324,工,89,35,7,低,高,3941160,金融
0325,工,93,35,6,中,高,3997925,製造
0326,文,70,39,5,高,中,2420289,IT
0327,経済,90,39,9,高,低,4563309,金融
0328,理,97,30,4,高,低,3056228,IT
0329,理,93,36,4,中,低,2825494,製造
0330,理,95,31,9,低,低,3180649,製造
0331,経済,80,42,7,高,低,4419156,教育
0332,理,78,37,8,中,低,3083834,金融
0333,理,87,36,7,低,低,2959377,IT
0334,経済,98,41,9,中,低,4546843,IT
0335,工,94,33,8,中,高,3968779,IT
0336,工,72,36,7,低,高,4085344,金融
0337,工,77,35,6,低,高,4049123,IT
0338,理,70,39,8,中,低,2914024,IT
0339,経済,89,39,8,低,低,4421490,金融
0340,文,62,38,8,中,中,2596957,製造
0341,経済,86,41,8,低,低,4476099,製造
0342,理,90,34,7,中,低,3110618,製造
0343,理,71,34,5,低,低,2922834,IT
0344,理,84,32,4,低,低,3114697,金融
0345,経済,82,38,8,高,低,4408743,教育
0346,文,63,36,5,低,中,2460809,金融
0347,文,60,38,6,高,中,2582906,IT
0348,文,82,40,8,中,中,2454923,IT
0349,経済,100,38,9,高,低,4540932,IT
0350,経済,92,40,8,低,低,4551346,金融
0351,工,94,33,9,中,高,3959700,教育
0352,工,78,38,7,低,高,4080233,教育
0353,文,54,35,6,中,中,2502602,教育
0354,文,81,39,5,低,中,2489320,金融
0355,経済,92,41,10,低,低,4550211,金融
0356,経済,97,39,7,高,低,4474599,製造
0357,工,87,35,8,高,高,4093514,製造
0358,理,61,35,4,高,低,2936324,教育
0359,理,83,37,9,高,低,2876698,教育
0360,工,76,33,9,高,高,3986736,金融
0361,工,79,33,6,低,高,4089822,金融
0362,理,99,34,7,中,低,2922167,製造
0363,経済,84,41,7,高,低,4565314,IT
0364,理,80,35,7,高,低,2996156,IT
0365,経済,88,40,7,低,低,4440429,製造
0366,工,87,38,8,中,高,3922290,製造
0367,文,82,39,6,高,中,2501693,IT
0368,理,81,33,7,低,低,2808692,金融
0369,文,67,35,6,低,中,2401781,IT
0370,文,86,38,8,中,中,2569636,金融
0371,文,71,39,6,中,中,2534883,製造
0372,経済,88,41,9,高,低,4497712,教育
0373,経済,84,39,10,高,低,4456895,IT
0374,理,72,34,7,中,低,3116862,教育
0375,文,73,38,8,中,中,2441348,教育
0376,理,80,40,9,中,低,3084483,教育
0377,理,61,36,4,低,低,3019259,金融
0378,理,84,38,7,低,低,2859942,金融
0379,理,92,39,7,高,低,2876936,IT
0380,文,63,39,5,低,中,2434670,教育
0381,理,84,40,8,高,低,3100536,IT
0382,経済,84,40,7,高,低,4585818,IT
0383,経済,85,38,10,中,低,4487092,IT
0384,工,80,35,6,高,高,3904778,IT
0385,理,74,30,5,低,低,2845891,教育
0386,工,71,36,7,低,高,3950191,IT
0387,理,69,31,9,中,低,3011761,金融
0388,工,83,38,6,高,高,4092913,金融
0389,工,70,35,8,中,高,4034347,製造
0390,理,74,39,4,中,低,2975800,IT
0391,文,51,40,7,低,中,2452644,製造
0392,工,84,38,8,低,高,3995861,IT
0393,工,79,36,6,低,高,4011909,製造
0394,文,62,39,5,低,中,2417830,製造
0395,理,67,35,5,中,低,2826140,IT
0396,理,92,32,8,高,低,3146723,教育
0397,経済,93,39,7,高,低,4494948,製造
0398,工,71,37,7,中,高,3977520,製造
0399,工,88,34,6,低,高,3945475,教育
0400,工,71,34,6,中,高,3952691,IT
0401,文,88,35,7,高,中,2594651,IT
0402,理,97,32,6,高,低,3081627,金融
0403,文,87,36,6,中,中,2425959,製造
0404,経済,85,39,9,高,低,4523271,製造
0405,理,96,39,9,低,低,3113345,製造
0406,文,55,36,6,高,中,2570244,教育
0407,理,87,33,5,低,低,2978827,IT
0408,文,61,40,5,中,中,2530013,教育
0409,理,88,34,9,高,低,3117281,金融
0410,経済,86,42,7,低,低,4447393,IT
0411,文,79,40,7,中,中,2487205,教育
0412,工,77,38,9,高,高,3986137,IT
0413,工,77,33,6,低,高,3957232,教育
0414,理,95,37,4,高,低,3195672,IT
0415,理,76,37,9,中,低,2823055,金融
0416,経済,85,41,7,高,低,4595326,教育
0417,工,85,36,9,低,高,3952662,製造
0418,文,84,36,7,低,中,2517502,製造
0419,理,86,33,9,低,低,2837228,IT
0420,理,97,32,6,中,低,3107496,IT
0421,工,89,36,8,中,高,4046538,金融
0422,経済,95,41,8,中,低,4501891,製造
0423,経済,87,41,10,高,低,4449487,教育
0424,経済,94,40,7,低,低,4407769,IT
0425,文,79,39,8,低,中,2506223,IT
0426,工,84,38,8,低,高,3906389,製造
0427,経済,97,41,7,中,低,4486659,金融
0428,理,90,30,6,低,低,2942081,金融
0429,理,81,39,6,低,低,2827451,金融
0430,工,70,35,6,高,高,4004154,教育
0431,文,67,40,5,中,中,2489974,製造
0432,経済,84,41,7,低,低,4547955,金融
0433,工,73,35,8,高,高,4062371,IT
0434,経済,92,38,8,高,低,4462074,IT
0435,経済,100,39,9,低,低,4562542,製造
0436,工,94,38,8,高,高,3984360,教育
0437,工,80,36,6,高,高,3937604,金融
0438,理,79,36,7,低,低,3149864,製造
0439,工,94,34,6,中,高,4043586,金融
0440,経済,83,39,8,中,低,4564684,金融
0441,経済,97,40,8,高,低,4420793,製造
0442,経済,93,41,8,中,低,4484750,製造
0443,文,82,39,6,中,中,2440909,IT
0444,理,100,32,6,高,低,2958268,製造
0445,工,81,37,9,高,高,3939311,金融
0446,理,86,38,4,中,低,3108194,金融
0447,文,73,36,5,中,中,2485429,金融
0448,理,98,40,8,高,低,2849215,教育
0449,工,89,33,7,高,高,4044814,IT
0450,文,80,38,7,低,中,2540415,製造
0451,経済,84,42,7,中,低,4438890,IT
0452,文,57,35,5,低,中,2482174,教育
0453,経済,92,39,10,低,低,4481652,IT
0454,経済,99,42,7,高,低,4543413,製造
0455,文,83,35,5,中,中,2483973,教育
0456,文,85,36,8,中,中,2412035,金融
0457,文,81,36,7,高,中,2449193,教育
0458,文,52,38,7,中,中,2559887,金融
0459,経済,86,40,7,高,低,4514114,金融
0460,経済,88,38,9,高,低,4406055,教育
0461,理,81,39,4,中,低,3196003,教育
0462,理,99,30,7,低,低,2850282,教育
0463,文,85,39,8,中,中,2486329,教育
0464,文,86,35,5,中,中,2429777,金融
0465,工,73,36,7,低,高,4055323,金融
0466,理,99,30,4,高,低,2835555,IT
0467,工,75,38,7,高,高,3936377,IT
0468,経済,97,40,7,高,低,4569836,教育
0469,経済,83,41,10,中,低,4524140,教育
0470,工,93,33,6,低,高,4054523,製造
0471,経済,86,39,9,高,低,4512087,IT
0472,経済,89,39,8,中,低,4428722,製造
0473,経済,100,42,9,高,低,4426225,金融
0474,経済,94,40,7,低,低,4516260,金融
0475,文,71,38,6,低,中,2416022,製造
0476,理,76,33,9,高,低,2947604,金融
0477,経済,99,42,8,中,低,4405452,金融
0478,工,72,37,9,低,高,3983869,金融
0479,文,90,35,7,低,中,2561299,金融
0480,理,81,34,4,中,低,2831774,教育
0481,理,99,30,4,中,低,2944529,IT
0482,工,89,34,7,中,高,3993781,金融
0483,文,80,38,5,低,中,2559652,製造
0484,理,83,30,5,中,低,3106800,教育
0485,工,88,37,7,高,高,3977119,IT
0486,工,75,38,9,低,高,4049163,IT
0487,工,85,37,9,中,高,4057316,製造
0488,工,87,33,8,中,高,4081471,教育
0489,工,70,36,7,中,高,4012798,IT
0490,経済,94,41,8,高,低,4498892,製造
0491,理,100,34,9,中,低,3070004,製造
0492,工,84,37,8,高,高,4087903,製造
0493,工,74,33,9,高,高,4028380,製造
0494,文,60,38,7,中,中,2432469,製造
0495,経済,85,38,10,中,低,4563106,金融
0496,経済,89,40,10,中,低,4426254,IT
0497,理,94,40,4,低,低,2980842,製造
0498,文,84,38,8,中,中,2418861,製造
0499,工,93,38,7,高,高,4094173,教育
0500,工,71,37,7,中,高,4037436,金融
0501,文,66,37,5,高,中,2454412,金融
0502,経済,88,38,7,低,低,4457837,IT
0503,文,77,38,6,中,中,2533743,教育
0504,工,76,34,8,高,高,4071770,製造
0505,理,83,34,6,低,低,2977479,製造
0506,理,62,34,4,高,低,3079118,教育
0507,文,76,39,8,高,中,2511086,金融
0508,工,70,38,6,高,高,4009903,教育
0509,工,73,36,8,中,高,4092179,製造
0510,経済,95,41,9,中,低,4464007,IT
0511,経済,81,40,8,中,低,4455527,IT
0512,理,98,37,9,中,低,3002949,教育
0513,経済,87,41,9,中,低,4554586,製造
0514,経済,87,42,8,高,低,4569749,製造
0515,経済,92,40,10,中,低,4578514,金融
0516,文,80,36,5,中,中,2410723,金融
0517,文,59,40,7,中,中,2422170,IT
0518,経済,80,42,7,高,低,4479808,金融
0519,文,87,37,8,高,中,2496245,金融
0520,経済,99,38,7,低,低,4429354,金融
0521,工,89,37,6,中,高,3923963,教育
0522,文,54,38,6,低,中,2537686,教育
0523,文,54,39,7,中,中,2487109,金融
0524,経済,100,39,7,高,低,4550777,教育
0525,経済,82,38,9,高,低,4415461,金融
0526,経済,83,42,8,中,低,4433252,製造
0527,理,94,31,4,中,低,2995922,教育
0528,文,64,39,6,低,中,2562271,教育
0529,文,85,36,7,低,中,2477988,金融
0530,経済,93,39,10,低,低,4598072,金融
0531,経済,95,39,10,中,低,4406954,金融
0532,工,82,35,8,中,高,3962290,IT
0533,工,70,35,9,中,高,4095668,教育
0534,経済,96,40,9,高,低,4592077,教育
0535,経済,85,42,7,高,低,4479857,金融
0536,理,69,36,9,高,低,2948537,金融
0537,理,61,34,8,高,低,3055329,製造
0538,理,75,35,9,中,低,2960811,製造
0539,理,91,33,4,低,低,2933791,金融
0540,理,64,35,7,低,低,2875125,金融
0541,経済,82,38,9,高,低,4404732,IT
0542,文,88,39,8,中,中,2484091,IT
0543,理,78,40,7,中,低,2936078,IT
0544,文,52,35,6,中,中,2577039,IT
0545,文,62,38,5,中,中,2491163,IT
0546,工,95,37,9,低,高,4048916,金融
0547,文,57,37,5,高,中,2505377,教育
0548,経済,100,40,9,中,低,4523191,IT
0549,経済,87,42,8,中,低,4428649,教育
0550,工,82,36,8,低,高,3946826,教育
0551,理,78,34,4,低,低,3053347,製造
0552,工,87,34,9,高,高,4062733,教育
0553,理,71,33,4,中,低,3186377,金融
0554,経済,97,38,10,高,低,4408669,金融
0555,工,75,38,9,中,高,3942662,製造
0556,工,90,38,6,高,高,4093021,IT
0557,理,69,36,5,高,低,2827834,製造
0558,工,95,34,8,中,高,3983255,IT
0559,経済,97,40,9,中,低,4404915,金融
0560,理,64,31,7,低,低,3012114,製造
0561,経済,90,41,9,低,低,4467587,製造
0562,文,55,37,8,中,中,2464837,IT
0563,工,73,33,8,中,高,3932374,製造
0564,経済,82,41,10,高,低,4412214,金融
0565,工,85,37,9,低,高,3963162,IT
0566,経済,84,42,8,高,低,4525223,金融
0567,理,87,38,7,高,低,3065535,教育
0568,理,79,38,9,中,低,3012768,製造
0569,工,74,38,8,中,高,4055965,金融
0570,工,72,33,7,高,高,3908004,製造
0571,経済,92,40,7,中,低,4586932,金融
0572,文,59,39,8,中,中,2598738,IT
0573,工,90,36,9,中,高,4080875,IT
0574,工,83,34,9,高,高,3933783,製造
0575,工,92,38,7,中,高,4009621,製造
0576,文,54,36,8,高,中,2491932,金融
0577,経済,91,42,10,低,低,4506843,教育
0578,文,56,36,8,低,中,2503069,製造
0579,文,75,36,5,高,中,2596019,製造
0580,理,60,38,4,低,低,3045888,製造
0581,経済,92,38,9,低,低,4465438,教育
0582,文,74,38,7,高,中,2579888,金融
0583,経済,82,40,9,低,低,4509090,教育
0584,文,83,37,8,低,中,2451426,教育
0585,理,65,39,7,高,低,2900612,IT
0586,工,91,33,6,中,高,4019895,金融
0587,工,83,36,7,高,高,3982995,教育
0588,経済,88,39,9,中,低,4516756,金融
0589,理,83,32,5,高,低,3185263,教育
0590,理,76,36,9,低,低,2941810,IT
0591,理,68,36,9,中,低,2972636,製造
0592,文,74,35,5,中,中,2457474,製造
0593,理,69,40,5,低,低,2915971,金融
0594,経済,85,42,10,中,低,4427136,IT
0595,経済,85,41,7,中,低,4585487,IT
0596,工,93,37,7,低,高,4057982,IT
0597,文,88,38,6,低,中,2431725,教育
0598,文,74,35,6,低,中,2461312,IT
0599,文,52,38,5,低,中,2573025,金融
0600,経済,95,40,9,高,低,4472341,金融
0601,工,73,38,7,高,高,3978845,製造
0602,工,94,34,6,中,高,3979896,教育
0603,工,82,33,7,中,高,4086544,教育
0604,理,94,40,8,低,低,2806722,教育
0605,経済,96,41,8,中,低,4483486,金融
0606,経済,80,40,9,中,低,4568203,製造
0607,工,82,38,9,低,高,3923170,製造
0608,工,79,36,8,低,高,3913332,製造
0609,文,52,36,5,中,中,2520215,IT
0610,理,99,38,6,低,低,2837510,金融
0611,経済,86,38,9,中,低,4438750,金融
0612,理,79,32,6,低,低,3043910,製造
0613,経済,90,38,10,低,低,4444386,製造
0614,工,79,35,7,中,高,4076013,教育
0615,経済,88,38,9,高,低,4471758,IT
0616,理,71,36,7,高,低,3167132,金融
0617,経済,97,42,7,高,低,4478691,IT
0618,工,85,37,8,中,高,3911279,金融
0619,経済,97,42,10,低,低,4415272,製造
0620,経済,98,40,7,中,低,4403954,金融
0621,経済,88,40,7,高,低,4491366,IT
0622,理,86,40,6,中,低,2910397,金融
0623,工,83,36,8,中,高,3919284,製造
0624,文,80,40,8,低,中,2428745,金融
